place,location,info,X,Y,story,,,,,
SHERLOCK HOLMES STATUE,Baker Street & Marylebone Road,"G. K. Chesterton, noting the astonishing popularity of Sherlock Holmes, and, suggested that Baker Street needed a statue of the great detective.The idea was finally realized in September 1999, when a nine-foot bronze statue by the English sculptor John Doubleday was unveiled outside the Marylebone Road exit of the Baker Street Underground Station.",-0.1570058,51.5225896,Other,,,,,
HOLMES WALKING TOUR,"London Walks, Telephone (020) 7624 3978","Join this guided walking tour of Sherlock Holmes sites near Baker Street. No reservations are needed. Just join the group at 1:30 PM every Tuesday, at the Baker Street exit of the Baker Street Underground Station. Call to confirm dates and time.",-0.1578426,51.5228968,Other,,,,,
"""METROPOLITAN"" STATION",(BAKER STREET STATION),"One bright February morning in 1891, Watson noticed Alexander Holder walking toward 221B from the direction of the ""Metropolitan"" Station. The Baker Street Underground Station was on the Metropolitan Line, so Watson referred to it as the “Metropolitan Station”. Holder had come to ask for Sherlock’s help in The Adventure of the Beryl Coronet.",-0.1568717,51.523167,The Adventure of the Beryl Coronet,,,,,
CHARING CROSS (NEVILL'S) TURKISH BATH,25 Northumberland Avenue,"In the 1902 Disappearance of Lady Frances Carfax, Holmes looked at Watson's boot and said, “But why Turkish?” Holmes was referring to the fact that Watson's had not tied his own boots. This meant he had been to the Charing Cross Turkish Bath. The establishment was located on the north end upper floor of the wedge shaped building between Craven Street and Northumberland Avenue. In September of that year, during the Adventure of the Illustrious Client, while enjoying a smoke in the Turkish Bath. Watson asked Holmes “whether anything was stirring”, Holmes drew a note from his coat. The note was from Colonel Sir James Damery. He asked Holmes to call upon him at the Carlton Club.",-0.1252216,51.5071198,Multiple,,,,,
MORRISON & DODD,OLD JEWRY,"The Adventure of the Sussex Vampire began on November 19, 1896, when Holmes received a note from the firm of Morrison, Morrison, and Dodd, at No. 46 Old Jewry. They remembered Holmes’s successful action in the case of the Matilda Briggs, and referred Robert Ferguson on a matter concerning ""vampires"".",-0.090584,51.514698,The Adventure of the Sussex Vampire,,,,,
ALEX HOLDER'S BANK,THREADNEEDLE STREET,"In 1891, Alexander Holder was the senior partner in the Threadneedle Street firm of Holder & Stevenson, the second largest private banking house in the City. Based on his appearance, and his plea for help in the Adventure of the Beryl Coronet, made Watson wonder, “What could have happened…to bring one of the foremost citizens of London to this most pitiable pass?”.",-0.0841624,51.5143847,The Adventure of the Beryl Coronet,,,,,
THROGMORTON STREET,,"In the 1903 Adventure of the Blanched Soldier, James Dodd had served in the Boer War, but was now a stock-broker in Throgmorton Street.",-0.086689,51.5148988,The Adventure of the Blanched Soldier,,,,,
ALDERSGATE STATION,,"In 1890, after hearing about The Red-Headed League, Holmes and Watson went to Jabez Wilson’s pawnshop, they got off the underground at the Aldersgate, (now Barbican) Station. At the pawnshop, Holmes got a look at Vincent Spaulding by asking for directions to The Strand. He noticed that the knees of Spaulding’s trousers were dirty. Holmes took pride in having an exact knowledge of London, and identified one of the nearby businesses as the Coburg Branch of the City and Suburban Bank.",-0.0970101,51.5214147,The Red-Headed League,,,,,
DAILY TELEGRAPH,FLEET STREET,"In 1895, during the Adventure of the Bruce-Partington Plans, Holmes and Watson went to the Fleet Street district to place an ad in the next day's Daily Telegraph. The ad read, “To-night. Same hour. Same place. Two taps. Most vitally important. Your safety at stake. Pierrot”.",-0.106731,51.514223,The Adventure of the Bruce-Partington Plans,,,,,
WELLINGTON STREET,,"In 1889, during the Adventure of The Man with the Twisted Lip, Holmes and Watson traveled up Wellington Street, on their way from Kent to the Bow Street Police Court.",-0.0841034,51.5133297,The Man with the Twisted Lip,,,,,
GROSVENOR MANSIONS,,"In 1886, Lord St. Simon’s letter to Holmes came from Grosvenor Mansions, Grosvenor Square. St. Simon, the Noble Bachelor, was the second son of the Duke of Balmoral. In 1902, during the Adventure of the Three Gables, Holmes asked Watson to accompany him to Grosvenor Square, “for it is safer to have a witness when you are dealing with such a lady as Isadora Klein. Holmes had learned, presumably from Langdale Pike, that Isadora was the lady behind the mischief. She was a celebrated Spanish beauty and lived in one of the finest corner-houses on Grosvenor Square.",-0.1513624,51.5115202,The Adventure of the Three Gables,,,,,
TREVELYAN'S SURGERY,403 BROOK STREET,"In 1886, The Adventure of the Resident Patient began when Holmes and Watson received a guest who introduced himself as Dr. Percy Trevelyan. He lived at 403 Brook Street, in the Cavendish Square quarter.",-0.1472,51.512949,The Adventure of the Resident Patient,,,,,
BOND STREET,,"In 1887, on the way to the Diogenes Club to talk to Mycroft about the Greek Interpreter, Holmes and Watson entered Pall Mall from the west end. This indicates that on their way from Baker Street, they probably walked south on Bond Street.",-0.146685,51.514418,The Adventure of the Greek Interpreter,,,,,
BRADLEY'S & LATIMER'S,OXFORD STREET,"In 1889, after Dr. Mortimer had explained the Hound of the Baskervilles curse, Holmes sent Watson on errands to keep him out all day. Holmes needed solitude “in those hours of intense mental concentration”. Holmes asked Watson to have Bradley’s, the Oxford Street tobacconist, send up a pound of their strongest shag. It was almost nine when Watson returned. The room was so thick with smoke that Watson thought there had been a fire. In 1902, during the Adventure of Lady Frances Carfax, Watson said that his boots were English, and had been purchased at Latimer’s in Oxford Street.",-0.1490345,51.5144622,The Hound of the Baskervilles,,,,,
WELBECK and BENTINCK,,"One midday in 1891, while walking from Baker Street to Oxford Street, Holmes was nearly killed at the intersection of Welbeck and Bentinck Streets. A furiously driven two-horse van just missed him, as it dashed into Marylebone Lane. This was the first episode in The Adventure of the Final Problem.",-0.1493437,51.517269,The Final Problem,,,,,
MARYLEBONE LANE,,"In the 1891 Adventure of the Final Problem, after just missing Holmes at the corner of Bentinck and Welbeck, the two-horse van dashed west on Bentinck to Marylebone Lane, and was gone in an instant. This was the first episode in the 1891 Adventure of the Final Problem.",-0.1507187,51.5170085,The Final Problem,,,,,
VERE STREET,,"In the 1891 Adventure of the Final Problem, as Holmes continued south toward Oxford Street, a brick fell from a Vere Street building, shattering at his feet. Since this was just after the near “accident” at Bentinck and Welbeck streets, Holmes was convinced that Professor Moriarty’s thugs were trying to kill him.",-0.147513,51.515306,The Final Problem,,,,,
CLARIDGE’S,,"Claridge's Hotel was mentioned in two Sherlock Holmes adventures. In 1900, J. Neil Gibson wrote Holmes from Claridge’s to plead that Holmes help prove that Miss Dunbar was innocent of killing Gibson's wife at Thor Bridge. Gibson said he would come to Baker Street at eleven, but before Gibson arrived, Billy announced Marlow Bates, Gibson’s estate manager. Bates said he was leaving Gibson’s employment, but wanted to tell Holmes that Gibson was cunning and should not be trusted. In 1914, after capturing the German agent Von Bork in His Last Bow, Holmes returned to Claridge’s, shaved off his goatee, and reappeared as himself. In 1914, Holmes had given up his Baker Street rooms, and as Altamont, was staying at Claridge’s. Because Watson was helping in the case, I think he also lived at Claridge's on the German government money being paid to Holmes. Based on their comradeship, they probably had adjoining rooms, or perhaps a two bedroom suite. Of all the Central London hotels mentioned in the Sherlock Holmes adventures, Claridge’s is the only one in which Sherlock (and perhaps Watson) were guests. It is a wonderful place for Sherlock Holmes fans to stay while in London, if they have the wherewithal.",-0.1477146,51.5125819,Multiple,,,,,
LAURISTON GARDENS,Brixton Road,"In the 1881, A Study in Scarlet, Holmes and Watson traveled down Brixton Road on their way to Lauriston Gardens. When they arrived, Inspector Gregson asked Holmes to examine the murder site. The late Bernard Davies identified Lauriston Gardens as a group of four detached, double-fronted houses on the East side of Brixton Road, between Villa Road and St John’s Crescent. Today, Max Roach Park occupies the site.",-0.11309,51.466777,A Study in Scarlet,,,,,
BRIXTON RD. POLICE STA.,BRIXTON & CRESHAM ROADS,"In the 1881 A Study in Scarlet, Holmes asked Inspector Gregson if he and Lestrade had taken a cab to Lauriston Gardens. He already knew they had not, but he wanted to confirm his observations. This meant that the two Scotland Yard men had walked from the Brixton Road Police Station, just a quarter of a mile away.",-0.1134755,51.4648668,A Study in Scarlet,,,,,
WHITE HART TAVERN,Lilford & Loughborough,"In the 1881 A Study in Scarlet, Holmes placed an ad in the evening paper. It read, “In Brixton Road, this morning. A plain gold wedding ring, found in the roadway between the White Hart Tavern (sic) and Holland Grove. Apply Dr. Watson, 221B Baker Street, between eight and nine this evening.” Holmes apologized to Watson for using his name. In chronicling the story, I think Watson meant to say White Horse rather than White Hart. It more correctly fits the described location.",-0.1067848,51.4704255,A Study in Scarlet,,,,,
SOUTH BRIXTON,,"In the 1895 Adventure of the Veiled Lodger, Watson arrived at 221B, where he found Holmes with “an elderly… woman of the buxom landlady type”. She was Mrs. Merrilow of South Brixton. At the time, South Brixton was a popular middle-class suburb.",-0.118757,51.458045,The Adventure of the Veiled Lodger,,,,,
DR. BARNICOT'S SURGERY,LOWER BRIXTON ROAD,"In 1900, when Dr. Barnicot went to his branch surgery in Lower Brixton Road, he was surprised to find that it too had been burgled, and the second of the six Napoleon busts had been smashed.",-0.120857,51.453044,The Adventure of the Six Napoleons,,,,,
BRIXTON,,"In 1902, during the Adventure of Lady Frances Carfax, Mrs Fraser left Stimson and Co by cab, and went to the fictional Poultney Square in Brixton. When Phillip Green reported what he had seen, Holmes and Watson rushed to the “Poultney Square” house. In the 1902 Adventure of the Three Garridebs, Nathan Garrideb could not stand the shock of the deception. The last Holmes heard, London’s only Garrideb was in a Brixton nursing home. As the late Bernard Davies wrote, “The kind with bars on the windows”. Nathan had “quite lost his reason. ”",-0.113758,51.473214,The Adventure of the Three Garridebs,,,,,
BRIXTON WORKHOUSE,,"In their 1891 search for Lady Frances Carfax, Holmes and Watson saw a large casket with the body of ninety-year-old Rose Spender inside. Schlessinger had obtained her body from the Brixton Workhouse Infirmary. The funeral would be at eight the next morning. However, there was no Brixton Workhouse in Victorian London. Perhaps Rose Spender lived in one of the Almshouses on Ferndale Road. Without a warrant, the police forced Holmes and Watson to leave, but promised to watch the house overnight.",-0.1205219,51.4628578,The Adventure of Lady Frances Carfax,,,,,
PENTONVILLE PRISON,,"In the 1889 Adventure of the Blue Carbuncle, we learn that Maudsley was James Ryder’s partner in the theft of the famous gem. Maudsley had served time in the Pentonville Prison. At the time, It was considered a “model” prison. Construction was completed in 1842, and it was designed in a panopticon plan, with a central hall, and five radiating wings. Pentonville introduced conditions that were vastly better than those at Newgate, and the other older prisons.",-0.1166439,51.5449172,The Adventure of the Blue Carbuncle,,,,,
ROTHERHITHE,,"In Victorian times, Rotherhithe, the dockside area across the Thames from Wapping, was a very rough place. In the 1889 Adventure of the Dying Detective, Holmes said he had picked up a coolie disease there, and returned to Baker Street to die.",-0.0524457,51.5020815,The Adventure of the Dying Detective,,,,,
CANNON STREET STATION,,"In 1889's Man with the Twisted Lip, Neville St. Clair supposedly worked in London. He was a man of regular habits, returning home every evening on the 5:14 from Cannon Street Station. “He had no occupation, but was interested in several companies”.",-0.090877,51.511417,The Man with the Twisted Lip,,,,,
HOLBORN BAR,,"In 1902, during the Adventure of the Three Gables, Steve Dixie burst into 221B and demanded that Sherlock mind his own business. The Negro's attitude changed however when Holmes mentioned the killing of young Perkins outside the Holborn Bar. His face turned leaden, and he beat a hurried retreat. The Holborn Bar marks the edge of the City' of London near the junction of High Holborn and Grays Inn Road. There are two stone obelisks on either side of the road to mark the spot. In my opinion, the term “outside the Holborn Bar” means outside the City, near the Holborn Bar.",-0.111129,51.51817,The Adventure of the Three Gables,,,,,
AMERICAN EXCH. KIOSK,CHARING CROSS RR STATION GATE,"In 1881, during A Study in Scarlet, two letters were addressed to the American Exchange, The Strand. The letters were from the Guion Steamship Company regarding the sailing of their boats from Liverpool to New York. In the 1880’s, the American Exchange was located at 449 The Strand, with a kiosk style booth on the other side of the street, between the two exit gates of the Charing Cross Railroad Station.",-0.1254997,51.5084036,A Study in Scarlet,,,,,
GRAND HOTEL,,"In 1887, one of the three luxury Northumberland hotels from which Paul Melas, The Greek Interpreter, obtained his clients was The Grand Hotel. It is no longer operating, but the curved front building is located on the east side of Northumberland, across from Trafalgar Square. It is now an office building.",-0.126847,51.5075855,The Adventure of the Greek Interpreter,,,,,
CHARING CROSS,,"One night in 1887, a Mr. Latimer called on Paul Melas and said he needed a Greek interpreter. He asked Melas to accompany him to Kensington. They left Pall Mall in a four-wheeled carriage, and set off through Charing Cross. Melas was alarmed to see that Latimer carried a lead weighted bludgeon.",-0.1277161,51.5073535,The Adventure of the Greek Interpreter,,,,,
CHARING CROSS HOSPITAL,,"One morning in the autumn of 1889, before solving the mystery of The Hound of the Baskervilles, Holmes had a visitor who could not wait until Holmes return. However, he left his walking stick, and as usual, it revealed more to Holmes than it did to Watson. The stick belonged to Dr. James Mortimer. His colleagues at the Charing Cross Hospital had presented it to him in 1884, when Dr. Mortimer left to go into private country practice. In the 1902 Adventure of the Illustrious Client, Holmes was attacked by two men armed with sticks. He escaped by running through the Cafe Royal, but his injuries were serious enough that he had to be taken to the Charing Cross Hospital.",-0.1244545,51.5095571,Multiple,,,,,
CHARING CROSS POST OFFICE,"South Africa House, Trafalgar Square","In 1889, Sir Henry Baskerville received a note at the Northumberland Hotel with a Charing Cross postmark. The note was made of words cut from the previous day’s Times, and read, “As you value your life or your reason, keep away from the moor”. To know that he was staying at the Northumberland Hotel, Holmes suspected that someone was following Sir Henry. In 1891, during the Adventure of Wisteria Lodge, Scott Eccles sent his telegram to Holmes from the Charing Cross Post Office, but left before the police arrived.",-0.1268363,51.5080613,The Adventure of Wisteria Lodge,,,,,
LYCEUM THEATER,21 Wellington Street,"In 1887, during The Sign of the Four adventure, Mary Morstan received a strange letter. It instructed her to be, “At the third pillar from the left outside the Lyceum Theatre tonight at seven o’clock”. She brought the letter to Holmes, who compared the handwriting on the letter, to the handwriting on the boxes that contained the pearls she had received earlier. They were from the same person. The Lyceum Theater is a London landmark. After several fires in the 19th Century, it reopened in 1904. Originally known for Victorian melodramas and lavish Shakespearean productions, the Lyceum became a dance hall after World War II, and converted again to a legitimate theater in 1996.",-0.1200342,51.5114735,The Sign of the Four,,,,,
CHARING CROSS TELEGRAPH OFFICE,447 The Strand,"One gloomy February morning in 1897, Holmes received a telegram sent from the Charing Cross Telegraph Office. It was from Cyril Overton and read, “Please await me. Terrible misfortune. Right wing three quarter missing, indispensable to-morrow”. The meaning of the telegram became clearer in The Adventure of the Missing Three-Quarter. Later in the adventure, through a bit if trickery, Holmes learned that, Staunton, the missing right wing three-quarter, had sent a telegram to Dr. Armstrong in Cambridge. In London, Overton and the rest of the Cambridge team, were staying at Bentley’s Private Hotel, near The Strand. The night before, Godfrey Staunton had been seen with a rough looking man, running toward The Strand. Holmes became more interested, when he learned that Staunton was Lord Mount-James’s heir. Mount-James was one of the richest men in England..",-0.1238966,51.5095504,The Adventure of the Missing Three-Quarter,,,,,
TRAFALGAR SQUARE,,"In the 1889 The Hound of the Baskervilles, John Clayton said he picked up his fare at Trafalgar Square, then drove him to the Northumberland Hotel and followed Sir Henry and Dr. Mortimer to Baker Street. They then tried to follow them back to the hotel. Clayton said that when they were about three-quarters of the way down Regent Street, his fare “threw up the trap, and cried that I should drive to Waterloo Station as hard as I could”. Luckily, Holmes got the cab number.",-0.1273727,51.5077942,The Hound of the Baskervilles,,,,,
CHARING CROSS RR STA.,The Strand,"The Charing Cross Railroad Station was mentioned in five Sherlock Holmes adventures. In 1888, Irene Adler, and her new husband, Godfrey Norton, left London from Charing Cross to get away from the King of Bohemia's agents, Holmes included. In 1890, during The Adventure of the Second Stain, Mme. Fournaye's wild behavior at the Charing Cross Station attracted attention. In 1894, during The Adventure of the Empty House, while looking for Colonel Sebastian Moran in the “M” section of his Index of Biographies, Holmes mentioned, “Mathews, who knocked out my left canine (tooth) in the waiting room at Charing Cross”. Also in 1894, during The Adventure of the Golden Pince-Nez, Inspector Hopkins came to 221B directly from The Charing Cross Railway Station. He had come from Yoxley Old Place in Kent, and asked Holmes and Watson to accompany him back there the next morning . One cold winter morning in 1897, Holmes and Watson left London by train for Abbey Grange, in Marsham, Kent. They were responding to a letter from Inspector Stanley Hopkins. It was not until they had consumed some hot tea in Charing Cross Station, and taken their places on the Kentish train, that they were sufficiently thawed to talk about the Inspector’s reason for summoning them in The Adventure of the Abbey Grange.",-0.124712,51.5080246,Multiple,,,,,
COX & COMPANY,Craig’s Court,"In the 1900, The Problem of Thor Bridge, Watson revealed that, “somewhere in the vaults of…Cox and Co., at Charing Cross, there is a travel worn and battered tin dispatch box with my name…painted upon the lid”. The box is crammed with records of Sherlock’s unrecorded cases. During the subsequent period of bank consolidations, the old bank closed, and the dispatch box was undoubtedly moved. This dispatch box is the ""Holy Grail"" for Sherlockians.",-0.1266325,51.5067124,The Problem of Thor Bridge,,,,,
ONE-LEGGED NEWS VENDOR,NORTHUMBERLAND AVENUE,"In 1902, during The Adventure of the Illustrious Client, Watson was walking north on Northumberland Avenue, toward the Charing Cross when he saw a one-legged news-vendor displaying a placard that read, “MURDEROUS ATTACK UPON SHERLOCK HOLMES”. Watson felt a pang of horror.",-0.1267451,51.5072333,The Adventure of the Illustrious Client,,,,,
THE STRAND MAGAZINE,12 Burleigh Street,This site is where most of the Sherlock Holmes adventures were published. The new Strand Magazine was launched in January 1891.,-0.1205999,51.5115609,Other,,,,,
SHERLOCK HOLMES FRIEZE,135 Shaftesbury Avenue,"This Odeon movie house was originally the Seville Theatre. It opened in 1931 and presented plays and musicals until 1965, when, to 1970, it was famous for rock concerts. On the side of the building is a frieze by Gilbert Bayes, which contains London’s oldest sculpture of Sherlock Holmes, and perhaps Moriarty.",-0.128081,51.514231,Other,,,,,
WATERLOO ROAD,,"In 1889, during the Adventure of The Man with the Twisted Lip, Holmes and Watson traveled up Waterloo Road, on their way from Kent to the Bow Street Police Court. In the 1902 Adventure of the Three Garridebs, Holmes, with Inspector Lestrade’s help, identified the man calling himself John Garrideb, as James Winter, alias Morecroft, alias Killer Evans. He was an American criminal with a sinister and murderous reputation. He had come to London in 1893, and shot Roger Prescott, a Chicago forger, in a Waterloo Road nightclub.",-0.1111507,51.5032799,Multiple,,,,,
BOW STREET POLICE CT.,,"In 1889, during the Adventure of The Man with the Twisted Lip, Holmes and Watson went to the Bow Street Police Court. Inspector Bradstreet was on duty when they arrived, and asked to see Hugh Boone. Holmes had brought a large bath-sponge with him, and proceeded to unmask Boone, who was, in fact, Neville St. Clair, in disguise. Founded in 1740, this famous police court was the home of the pre-Scotland Yard London policemen. They were called the Bow Street Runners and were paid by the capture, much as bounty hunters are paid today. The police station closed in 1992, and the adjacent Magistrates’ Court closed in 2006.",-0.122235,51.513394,The Man with the Twisted Lip,,,,,
"""STAMFORD’S"" MAPS (STANFORD'S)",12-14 Long Acre,"In 1889, during the Hound of the Baskervilles adventure, Holmes sent to Stamford’s for a large-scale Ordnance map of that portion of the moor containing Baskerville Hall. Although Conan Doyle changed the name slightly, Stanford’s famous old map shop, founded in 1852, is still in business.",-0.126235,51.512215,The Hound of the Baskervilles,,,,,
ROYAL OPERA HOUSE,Covent Garden,"In 1889, after the successful conclusion of the Hound of the Baskervilles case, Holmes reserved a box at the Royal Opera House for “Les Huguenots”. Holmes suggested that they stop at Marcini’s for dinner on the way. In 1902, with The Adventure of the Red Circle case safely in the hands of the police, Holmes said to Watson, “it is not eight o’clock and a Wagner night at Covent Garden! If we hurry, we might be in time for the second act”.",-0.1221799,51.5129425,Multiple,,,,,
BRECKINRIDGE'S STAND,,"In December 1889, while solving The Adventure of the Blue Carbuncle, Holmes and Watson walked to Breckinridge's goose stand in Covent Garden. The goose with the the famous gem in its crop, was among the two dozen Breckinridge had sold to the Alpha Inn. Holmes used trickery to get Breckinridge to tell where he had purchased the geese. As they were leaving, Holmes and Watson saw James Ryder also trying to get information from Breckinridge.",-0.1234835,51.5119142,The Adventure of the Blue Carbuncle,,,,,
SOTHEBY’S,No. 3 Wellington Street,"In 1902, during The Adventure of the Three Garridebs, we learned the Nathan Garrideb only left his quarters to go to Sotheby’s or Christie's to bid on additions to his natural history collection. In 1902, Sotheby’s auction house was located at 3 Wellington Street. Later that year, in The Adventure of the Illustrious Client, Watson, posing as Dr. Hill Barton, offered to sell a Ming saucer to Baron Gruner. If pressed on its value, Watson was to suggest a valuation at Christie’s or Sotheby’s. Sotheby’s moved to their current location at 35 New Bond Street in 1917.",-0.119519,51.511654,Multiple,,,,,
VENNER & MATHESON,,"In 1889, during The Adventure of the Engineer's Thumb, we learned that for seven years, Victor Hatherley had apprenticed with Venner & Matheson, a well-known engineering firm in Greenwich. In 1887, he went into practice for himself, but the business had not done well.",-0.016748,51.4780435,The Adventure of the Engineer's Thumb,,,,,
HUGO OBERSTEIN'S,No. 28 HOGARTH ROAD,"In 1895, during The Adventure of the Bruce-Partington Plans, Mycroft provided a list of the foreign spies living in London. The name and address that caught Holmes attention was Hugo Oberstein, who lived at “Caulfield Gardens”. Oberstein’s rear windows overlooked the Circle Line tracks. Many Sherlockians have incorrectly identified “Caulfield Gardens” as Courtfield Gardens or Courtfield Road, but as the late Bernard Davies pointed out, there are no houses at these locations from which Cadogan West's body could have been placed on the top of the train. The only houses from which this is physically possible are on the south side of Hogarth Road, particularly No. 28.",-0.192286,51.493292,The Adventure of the Bruce-Partington Plans,,,,,
ST. MONICA'S CHURCH,Old Marylebone Road,"In the 1888 A Scandal in Bohemia, Godfrey Norton and Irene Adler were married in The Church of St. Monica, Edgware Road. The most likely candidate for being that church is the Church of St. Mark, located on Old Marylebone Road, near Edgware Road.",-0.1669005,51.518388,A Scandal in Bohemia,,,,,
HOLLOWAY & STEELE,EDGWARE ROAD,"In the 1902 Adventure of the Three Garridebs, we learn that Nathan Garrideb's house agents were Holloway and Steele, located in Edgware Road. From them, Holmes found that the previous tenant at No. 136 “Little Ryder Street” fit the description of Roger Prescott, the man killed by ‘Killer Evans’.",-0.163381,51.515393,The Adventure of the Three Garridebs,,,,,
GREAT SCOTLAND YARD,,"During the Regency period, in addition to a street called Great Scotland Yard, there were two small alleys, know as Little and Middle Scotland Yard. These alleys were merged into a broad street now called Whitehall Place. In 1829, the headquarters of the police force’s new Metropolitan Division was established at No. 4 Whitehall Place, with a rear entrance on Great Scotland Yard. With the disappearance of Little and Middle Scotland Yards, the word “Great” became superfluous, and the police headquarters became known as Scotland Yard. They took the name with them on subsequent moves. The Great Scotland Yard street still curves between Northumberland Avenue and Whitehall.",-0.1254469,51.5064487,Other,,,,,
SHERLOCK WALKING TOUR,"London Walks, Telephone (020) 7624 3978","There is a guided walking tour of the Sherlock Holmes sites near Charing Cross. No reservations are needed. Just join the group at 2:30 PM every Thursday, at the north entrance of the Embankment Underground Station. Call to re-confirm date and time.",-0.1224268,51.5072567,Other,,,,,
VICTORIA EMBANKMENT,,"In 1885, during The Adventure of the Five Orange Pips, Holmes wondered how members of the Ku Klux Klan had decoyed John Openshaw from Waterloo Bridge to the Victoria Embankment.",-0.1183927,51.5097374,The Five Orange Pips,,,,,
